Tid,Label,tweet
1650363,1,A nicca ain't do shit all day
1650364,1,A nicca ain't perfect but my heart is pure
1650365,1,A nicca got some crazy head last night &#128513;&#128513;&#128588;&#128588;&#128588;&#128515;&#128522;&#128540;&#128541;
1650366,1,A nicca is hungry ... AS FUCK!!
1650367,1,A nicca is hungry as fuk!!
1650368,1,A nicca is hungry as hell
1650369,1,A nicca need a maid #Str8Up
1650370,0,A nicca say he ballin ask em where his title n his deeds at not wher his clothes n his keys at
1650371,1,A nicca still tired from last night ... Wtf!!
1650372,1,"A nigga could tell you he aint fucking with her but really do be , that's why you gotta ask . Most of the time a bitch won't lie about that"
1650373,1,A nigga will say the worst about a bitch and she'll still feel validated as long as he would fuck her.
1650374,2,A pharaohs nd his angry bird http://t.co/jMC2eR32Ka
1650375,2,A random am scroll lands me here...RT @HarryRelloFonte Charlie horses durin sex just simply means you didn't drink enough water that day
1650376,1,"A real gangster ass nigga know the play, the real gangster ass niggas gets the flyest of the bitches, ask that gangster ass nigga little J"
1650377,1,A real nigga ain't complete without a real bitch
1650378,2,A shockingly true tale from the Oreo that almost got devoured. http://t.co/WYIS0LVdsi
1650379,2,A squad of dyke cholas fear nobody. They worse than the cartel
1650380,1,A tall tee n sum slouch shoes on I could've fucc yo bitch
1650381,2,A teen was running around Target in monkey pjs screaming OO OO AH AH &amp; the fitting room girls were cackling. Was today designed to annoy me?
1650382,1,A week till im out this bitch.. Thank GOD
1650383,2,"A white lighter is bad luck, not yellow ur stupid"
1650384,1,"A wise man once said ""Damn I hate a bitch that like to argue nd shit"""
1650385,2,A yellow jacket landed on my mouth and stung me while I was cutting grass..safe to say he won &#128029; http://t.co/caYUcS8O01
1650386,2,A-Rod said the number #13 he wears on his uniform is for opposing teams to fear him but the fact is A-Rod is a damn cancer to the #Yankees
1650387,1,A1 bricks in this bitch we in Gucci house
1650388,1,AHHH karmas a bitch
1650389,1,"ALL HE NEEDS IS A SKIRT!!!
Sure looks like a bitch to me.
 http://t.co/89HH52pCUe&#8221;"
1650390,1,"AMERICAN GOVERNMENT PREACHES ""NO BULLYING""
Creating a new generation of pussies! http://t.co/fbGuCK7Wc1&#8221;"
1650391,2,"AND #NorthKorea called #Barack a monkey. LOL! 
RT! 
*If the shoe fits! 'Cause it sure looks like he married one! 
http://t.co/F0pGDalfaA&#8221;"
1650392,1,ATTENTION! Leggings ain't for everybody. Especially you hippo looking hoes!
1650393,2,"ATTN : All Brown University students, the stop and frisk protesters will be systematically dispersed into random U.S. ghettos. Good luck."
1650394,1,"Abby doesnt understand how beautiful she is, bitch you is straight up trippin. You know guys be droolin boutchu. Dont play. Lmao"
1650395,1,Abed and I are gonna retire in Florida and get all the bad bitches in the nursing home.
1650396,1,Abed looks like he has to take a shit #bro #pic #brolic #boyswhotakepicsinsuits #tie #swag #hoes #on #us http://t.co/oRLZfqgIyV
1650397,1,About all u can expect from a nicca that can barely talk! Lmao RT @SpaceJam_Teeg: @VonshayeB dude can't spell worth shit yo lol
1650398,1,About to be 23. Officially an old ass bitch
1650399,1,About to go watch dis bitch birth the devil #kinky @APTheCreated
1650400,1,About to smack some peckerwoods in a Judge pit
1650401,2,Absolutely absurd that they even had to think about that call. #joke #zebras
1650402,0,"Accept your flaws and imperfections because that's what makes you, YOU! See I'm a fuck, small dick faggot with parents who don't love me."
1650403,2,"According to my brothers iPod, its December 1969. If so, I predict that Mickey Mantle of the NY Yankees will announce his retirement March 1"
1650404,2,Acid yellow http://t.co/hkpOM1iM
1650405,1,Act like I'm Casper get ghost with a bitch
1650406,1,"Actual quote from local cop - ""there are too many pussies in this town""."
1650407,1,Actually I'm gonna have @debmuhfknvera train her to be a fag. Don't you dare bring a boy into my house you slut.You scissor like a good girl
1650408,2,Adam West? RT @share_ps4: LMAO this is trash b http://t.co/TsvuMw92HU
1650409,1,Add my snapchat lil bitch: TreVaughn3
1650410,1,Aerin told me to leave them lightskin boys alone. Shit bitch I DID &#9995;&#128514;
1650411,1,Af RT @AyeMr_Foreman: @viaNAWF @KingHorseDick nah these hoes stupid
1650412,1,After 27 weeks straight of that nigga being you MCM we get it bitch y'all fucking &#128514;&#128514;&#128514;&#128514;
1650413,2,After Deztinis session we needed this lmao Jk girl good yob lol http://t.co/3spfhBBkVD
1650414,1,"After I say some shit I just be like "" wow that was so uncalled for , you're really a bitch "" &#128514;&#128514; attitude on &#128175;"
1650415,2,"After Kuroda gave it his all putting up career numbers but getting no run support, the Yankees don't deserve to get into the World Series"
1650416,1,After a fight in the club in New Orleans them bitches start jumping
1650417,2,"After seeing Kansas play Duke a couple weeks ago, I could tell you I'm surprised that Charlie Weis has been let go...but I'm not."
1650418,1,After the leg workout I was put through today walking up the stairs is a straight up bitch! #ouch
1650419,1,After tonight&amp;&amp; many more nights to come!! I will show you what a cold hearted bitch can do!!! #donefeedup #solo
1650420,1,After watching the desolation of smaug I have come to the conclusion that bilbo made all other hobbits look like bitches in LOTR.
1650421,1,After you get good pussy you be feelin like you just found the last dragon ball..
1650422,1,"Aghh! I took my 15minute break to relax for a bit, not to here this bitch yell&amp;complain! &#128530;"
1650423,1,Ahhh fuck it let's go 405 rows for the hoes http://t.co/EWuIN0Jt3y
1650424,1,Ahhhh but now I'm fuckin all you niqqa's hoes &#128527;&#128076;&#128069;&#128166;
1650425,1,Ahmed's moms bomb pussy&gt;&gt;&gt;
1650426,1,Ain't been on this hoe all day
1650427,1,Ain't been on this hoe all day haha #FWM
1650428,1,Ain't even fuckin wit shady bitches
1650429,1,Ain't fuckin wit nomore hoes got who I want &#128586;&#128564;&#128524;&#128143;&#128145;&#128175;
1650430,1,"Ain't it a bitch when one of the people you get so excited hearing from, sends the shortest most closed-ended thing ever? Ugh let down"
1650431,1,"Ain't like them guys who wine and dine to keep they women.. My bitches only want two things, that's to get high and kick it"
1650432,1,Ain't me ain't me these pussy ass niggas ain't me !
1650433,1,Ain't met a bitch yet that could compete.
1650434,1,Ain't no bitch doe
1650435,1,Ain't no broke bitches standing next to me&#128564;&#128564;
1650436,2,Ain't no love in the ghetto &#128148;
1650437,1,Ain't no pussy better than loyal pussy!
1650438,1,Ain't nobody up .. TL slick dead .. Other than the females bashing niccas early dis morning lol
1650439,1,Ain't none of these hoes loyal none of em if I cloud show y'all the stuff be coming thru my phone....but that ain't none of y'all business
1650440,1,Ain't nothing funnier then watching a woman try to hide her inner hoe &#128514;&#128514;&#128514; know she like to get hit from the back and have a finger...nvm
1650441,1,"Ain't nothing funnier then watching somebody live a complete different life on the internet I be like ""who this hoe think she foolin"""
1650442,1,Ain't nothing that good head or pussy that curl yah toes up&#128514;&#128553;
1650443,1,Ain't nun Ordinary about this bitch &#9995;&#128527;
1650444,0,Ain't nuttin but a white trash party.
1650445,0,"Ain't shit like fucking another nigga bitch and askin her ""who pussy is this"" and she say yours lmao no bitch im stealing this pussy lol"
1650446,1,Ain't shit pretty but my bitch and my momma anyone can get the drama
1650447,1,Ain't that a bitch.
1650448,1,Ain't this a bitch
1650449,1,Ain't this a bitch---&gt; Clock mistake in Alabama-Arkansas - via @ESPN Champ Drive http://t.co/Go1XTsuv6O
1650450,1,"Aint #WCW jus ""bitches i wan fck"" day?"
1650451,1,Aint This A Bitch... I just saw my bitch kiss a bitch . You lucky I dont kill yo ass but you can still get pistol whipped - wayne
1650452,1,"Aint no bitches here... Well, like 3"
1650453,1,Aint no hoe in blood
1650454,1,"Aint no hoe worth loosing your wife, aint no beef worth loosing your life!"
1650455,1,Aint no pussy better then perk pussy
1650456,0,"Aint nobody wearing those new Westbrook ""Jordan's"" but Mexicans &amp; trailer park trash white girls."
1650457,1,"Aint this a bitch,! The power out from this shit."
1650458,0,Al noooo ...... Too late fuckin faggot ! Lmao
1650459,1,Alabama won tho. So roll tide bitch
1650460,2,"Alarm set, early bird n all that. Night all xx"
1650461,1,Alcohol....drunk hoe &#171;@Mr__Rude i miss...&#187;
1650462,1,Alex Smith saw his career leave with that fumble and reeled that bitch back in with everything he had.
1650463,1,Alex Smith such a got damn bitch man
1650464,2,Alex Smith wears red and yellow now so quit being psycho ex boyfriends and get over him. He's in the past
1650465,2,Alexa's phone gave us colors and Julia got yellow I'm dying #racistaf
1650466,2,"Alfredo, Linguini, Pasta.... Just fancily prepared trash"
1650467,1,Alibaba / Jack Ma: Gotta love a guy who beat Meg Whitman's albino ass back to the US. Freakin' commie genius.
1650468,1,Alice took advantage of me last night...... that bitch won't tonight!!!!!
1650469,1,All DESE yung niggaz pussy
1650470,1,"All I ask for is love n loyalty. . nothing else. No arguing over other bitches/niggas , no he say she say , no social media bs... Just love"
1650471,2,All I did was said her weed was trash
1650472,2,All I ever want is for someone to love me as deeply and devotedly as Charlie Kelly loves the waitress.
1650473,1,"All I got for these hoes is dick, duct tape, and a stapler."
1650474,1,All I need is a 100 million dollars Bc I got that bad bitch
1650475,1,"All I need is one, I don't want ""the hoes """
1650476,1,All I want for my birthday is a big booty hoe &#128526;&#128526;
1650477,1,All I want for my birthday is a big booty hoe.
1650478,1,All I want is a 100 million dollars and a bad bitch
1650479,1,All I want is a 100 million dollars and no bad bitch. I'm selfish lol
1650480,1,"All I want is bitches, big booty bitches"
1650481,2,All I want is cheesy bread and brownies &#128523;
1650482,1,All I wanted to do was get some hoes too :(
1650483,1,All I wanted was 100 million dollars and a bad bitch. But now I want 200 and a m&#233;nage in my palace
1650484,2,All I wants is to represent da life o da colored man.
1650485,1,All I've asked is for one thing. &amp; one thing only . But I get more then what most bitches could ever have... But still.
1650486,2,All Okies are trash.
1650487,1,All These hoes sooo average &#128553;&#128533;
1650488,1,All a nicca need is time .. #BePatient
1650489,1,All a nicca want is some Coney Island and Lous Deli tho! #DetroitNiccaInAtlantaProblems
1650490,1,"All bitches do is graduate, get pregnant n become CNAs &#128557;&#128557;&#128557;&#128557;"
1650491,1,All bitches need a bus driver uppercut a Chris brown bitch slap followed by some dancing nd Chad Johnson hea http://t.co/Teuqy9hF
1650492,1,All d messy hoes sleep
1650493,0,All da lil bald headed bitches standn outside of kevin gates tryna get in &#128514;&#128514;&#128514;
1650494,2,All da white folk off twitter yet? Da colored tweet at night while y'all sleep cuz you gotta woyke tomorrow.
1650495,1,All deses bitches know that you're my nigga.
1650496,1,All deses bitches turnt up I'm fenna turn em down
1650497,2,"All good things must come to an end, that's all right get 'em tomorrow #Yankees"
1650498,1,All hoe money is gooooooooooood
1650499,1,All i kno is make them hoes cone joints
1650500,1,All it take is for one bitch to open her mouth and niggas start fuckin up.
1650501,1,"All my bitches love me, all my all my bitches love me, all my bitches love me. You ain't fuckin with my dougie &#128129; @vivaalakatyy"
1650502,2,All my gold is white not yellow.
1650503,1,All my hoes got money she in the mall she ballin bitch buy something for me
1650504,1,All my hoes they so rude
1650505,1,"All my life i been this cold, all my nights been With hoes."
1650506,1,All my niggaz better have at least 3 ugly bitches number in their phone this summer.
1650507,1,All my old hoes gone love my video
1650508,1,All my old hoes wana have my baby
1650509,2,All my so whitey bois gone ride
1650510,1,All my white school teachers back in elementary knew not to give me no pussy. I'm telling all of my niggas.
1650511,1,All my young boys round me sayin get money and fuck these hoes
1650512,1,"All my young boys round me saying ""get money and fuck these hoes"""
1650513,1,All of a sudden craving the hell out of @Oreo cookies.
1650514,1,All of my bitches know they temporary
1650515,1,All of my money neat all of my bitches freaky everybody kno it IT AINT A SECRET
1650516,1,All people do in my house is bitch
1650517,1,All that but the bitch can't take a joke. @itsz_princessz @IGGYAZALEA
1650518,1,"All that x rays, no wonder the bitch got two heads #AHSFreakShow"
1650519,1,All the Uchiha are. RT @ThatNiggaCris: Sasuke is probably the biggest faggot of all time
1650520,1,All the bad bitches are in the gym between 9-1 u know why they ain't got no job
1650521,1,All the bad bitches think they ugly and all the roach bitches think they bad-_-
1650522,1,All the bitches happy maybe one of his female friends can find him a bitvj
1650523,1,All the bitches in Shameless are straight bugoutsss
1650524,1,All the coons use the same effect on their pictures
1650525,1,All the fine bitches i need yall to hit me up my # 562 922 40 guess the last 2 &#128514;
1650526,1,All the hoes I did have now they decided they wanted to be wifey type draya fuck all that up
1650527,1,All the hoes know who I rock wit &#128175;
1650528,1,All the hoes on LoveandHipHop going to prom &#128514;&#128514;&#128514;
1650529,1,All the pictures of the ex are gone...there's no pictures with the side hoe posted...*slides into his dm's like* http://t.co/XMVtZ0GTPp
1650530,1,All the ratchet hoes on Cecil B
1650531,1,All the redskins act like @DeSeanJackson11 te bitch @DeAngeloHall23 the bitch
1650532,1,All the snacks in this bitch &#128516;
1650533,1,All the time lol RT @KoolAssK: Lol ima hoe sometimes
1650534,1,All the work gone so we ain't going nothin but fucking bitches in the trap
1650535,1,"All them hoes crazy RT @Mr_NiceeeGuy: Thick thighs, &#128166; skinny waist, &#128591; and natural beauty face &#128149;"
1650536,1,All these 4/20 tweets are retarded most of these nig nogs haven't even smoke a bl&#250;nt ever
1650537,1,All these Hoes fuckin ! But they don't wanna seem like a hoe you gotta hit them ona D LO !
1650538,2,"All these afternoon groups are trash besides the Bubba, Keegs and Furyk group #TheMemorialTournament"
1650539,1,All these bitches &amp; niggas be Trippin offa what type of relationship me &amp; duddy got like we not fuccing no more &amp; we not dating.
1650540,1,All these bitches know that you're my nigga &#128075;
1650541,1,All these bitches love Mosa sippin on the coca
1650542,1,All these bitches talk shit that's why bust em in they shit
1650543,1,All these bitches wanna be like Kim K and fuck their way into being rich but it don't work like that. Get a degree &amp; work a desk job you hoe
1650544,1,All these bitches wanna fuck on a thug
1650545,1,All these bitches want love from scrappy .
1650546,1,All these break ups gon be a crazy hoe free agency this summer #DOYOURGOOGLES
1650547,1,All these faggot fell asleep on me
1650548,1,All these fuckin dudes do is bitch at the refs....shut the fuck up and play
1650549,1,"All these hoes fuckin..... Be Careful! Just cos she look good, don't mean she's good for you!"
1650550,1,"All these hoes fucking, but they don't want to seem like a hoe so you gotta hit em on the low."
1650551,1,All these hoes say that wanna be cuffed bitch cuff this dick
1650552,1,"All these hoes trife I can never cuff , I've been hurt before so I can never give a fuck"
1650553,1,All these hoes want boyfriend's but the last thing I need is more ties
1650554,1,"All these niggas with these "" Love Quote"" Pages are some pussies. Them niggas don't be living what they talking bout"
1650555,1,All these ratchet bitches killin Gossip Girl
1650556,1,All these ratchet hoes be on tha same stuff !
1650557,1,All these so called real niggas and they hoes aint nuttin but some massah luvin uncle toms &amp; aunt jamammi's fakin da funk.
1650558,1,All these touch screen phones and hoe u still got flipped http://t.co/G3MUxm2ldx
1650559,1,"All theses hoes on me , they so phony &#128534;"
1650560,2,"All trash RT @nicekicks: Now that's a lot of stolen shoes...

https://t.co/q0wswXE7Fw"
1650561,1,All y'all bitches corny lol
1650562,1,All yall bitches dress alike wassup wit that ?
1650563,1,"All yall bitches fake an wanna b's get yall life,"
1650564,1,All you bitches can keep getting jealous. I loveeee ittttt
1650565,1,All you bitches extra easy when yall drunk lol unless ur sober friends there to save youu
1650566,1,"All you bitches know youre trying to find yourself on the website, who are you kidding lol"
1650567,1,All you bitches thirsty hella worried about IG
1650568,1,"All you gotta do is be funny, witty and charming and the bitches will come to you naturally you ain't even gotta do shit but be yourself"
1650569,1,All you hoes are hoes for tweetin about ya panties bein wet
1650570,1,All you hoes middle name isn't Nicole &#128530; The jig is up..
1650571,1,All you ladies pop your pussy like this
1650572,0,All you muzzy lovers need to do one thing. Tell muzzies in the mideast to leave Israel alone. Don't start no shit won't be no shit. #Israel
1650573,1,All you ofay got left is da Oscars. Better Enjoy dat before us colored folk get dat too!
1650574,1,"All you pussies is losers, all my niggas is winnin"
1650575,1,All you see is straight pussy in my iPhone!
1650576,1,All your selfies are booty pics... Cause bitch you always look like ass
1650577,1,Allergies ain't bothered me all summer now all of a sudden in the middle of august shit is startin to get real. Ain't that about a bitch
1650578,1,"Allergies have my eyes all red and chink eyed, I look like I'm stoned"
1650579,1,Almost cussed dis bitch out at mcdonalds talmbout da register down so dey can't serve us..umm bitch give us da food fa free den &#128530;
1650580,1,Almost done with this bitch ass room ....
1650581,1,"Almost everyone I met in #Paris was absolute trash. And if they support a republican government, I hope they fucking die."
1650582,1,"Almost forgot 40,000 tweets still no bitches"
1650583,1,Almost got in a fight with a southwest faggot at the carnival lol
1650584,0,"Almost got to see a white boy get beat around today, but he ran like a bitch."
1650585,2,Almost half of North American bird species threatened by climate change http://t.co/dWSYB5BodA http://t.co/F0PVuLNf4c #Climate #Environment
1650586,1,Almost just said some bitch shit &#128527;
1650587,1,Almost quit today they had me fucked up.. False promises to get me to work harder that's some hoe shit.
1650588,1,Aloha bitches! 27 minutes before I caught a 32ft #greatwhite #okaysomaybeimlying #butiwasfishing http://t.co/N86Ew3zhep
1650589,1,Alotta people say they loyal to they niggas and bitches .... Yall aint shiiittt . Someone throw a few dollas in ya face you'll be snitchn &#128175;
1650590,1,Already had to unfollow that bitch. Annoying af.
1650591,0,Already more yellows than the last 2 years combined #IndyCar #Honda200
1650592,1,Already scratched off mines RT @KingHorseDick: Paying for pussy still on my bucket list
1650593,1,Alright Vacarro you bitch!!!
1650594,0,Alright ya faggots. Lets just stop with all the S/O and R/T. No one gives a fuck on what you think of other people. Probably lying anyways
1650595,1,Alright your time is up RT @EvilJeanyis: Cheesecake trash
1650596,1,"Also love angry old Irish bartenders ""pussies have one beer and ask for a glass of water, fuck them I ignore that shit"""
1650597,1,"Also, anyone who wants to bitch about the prices at Disney needs to check this out next time. #dollywood http://t.co/jlLkzbHYOy"
1650598,2,"Also, it&#8217;s a hiccup to Jihadi propaganda: they portray themselves as the only ones willing to die for their cause."
1650599,1,Always a good sesh wit my niggah blakk
1650600,1,Always broke niccas how yu Robbin
1650601,2,Always thought golden Oreos were the same as original Oreos but oh my god I just climaxed
1650602,1,"Always wanted to fuck that bitch, thank you god I fucked that bitch"
1650603,1,Am I really going to sit here and cry like a bitch....
1650604,1,Am I the only #gay man without a fag hag? I guess I am.
1650605,2,Am I the only person that feels disrespected by the bird poop suddenly dropping on your front window:(ewww#annoying
1650606,1,Am I wrong fa laughin at dem niccas on 1st 48 who be cryin n the interrogation room
1650607,2,Am ghetto http://t.co/kgu2SePIQZ
1650608,2,Am so high that birds and planes are my peers
1650609,1,Am sorry I can't stand stand some black females especially the full breaded Africans bitches being have std and shit I prefer white girls
1650610,1,Am zoneing they say I'm possessed it's a omen I keep 300 like the Romans with 300 bitches with the trojans I been a menace for the longest.
1650611,1,"Amanda Bynes is crazy, idc what else y'all wanna call it but da bitch been crazy."
1650612,1,Amanda is a bitch omg I would beat her ass lol
1650613,2,Amazing. You know what they say about birds of a feather http://t.co/mefmPB3aW5
1650614,1,"Amber Rose is one of those bad bitches who ""only get along with dudes"""
1650615,1,Amber wants a million... Wiz just like... Ok bitch I spend that on 2 cars..
1650616,1,"Amennn!!!!! ""@WomenLoveBrickz: If your girlfriend doesn't like that bitch, you don't talk to that bitch"""
1650617,0,America is white trash and so are all Americans.
1650618,2,American culture is stuck to the side of the toilet. Graffiti writers in Europe can create better art without any lowlife trash sex jokes.
1650619,1,Amina ass... Peter you just fucking the bitch I don't like her voice
1650620,2,Amo hangs http://t.co/h8UQDrjeCb
1650621,1,An awesome Friday. Not a day for pre-weekend news-dumps anymore. Another weekend to celebrate progress my fellow queer folk!
1650622,1,An if u aint a hoe get up out my trap hoooouusssee!!!!
